City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
593,Mahroni,IN,28.42,overcast clouds,24.59,78.73,Sahu Samaj Dharmashala
594,Kavaratti,IN,28.0,light rain,10.57,72.64,Bismillah Hotel And Lodging
596,Roma,US,27.0,clear sky,43.21,-75.46,Wingate By Wyndham Rome
598,Musafirkhana,IN,27.22,scattered clouds,26.37,81.8,Hindustan Sweets House
601,Dondaicha,IN,26.91,overcast clouds,21.33,74.57,Mahavir Farm House
603,Matanza,CO,25.0,scattered clouds,7.32,-73.02,Hotel Cacique Matanzu
605,Guerrero Negro,MX,27.43,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
607,Yendi,GH,23.64,broken clouds,9.44,-0.01,Eyarro Lodge
611,Lancaster,US,31.67,overcast clouds,40.25,-76.25,Refreshing Mountain Retreat and Adventure Center
612,Namatanai,PG,28.47,overcast clouds,-3.67,152.43,Namatanai Hotel
613,Valdosta,US,24.0,moderate rain,30.83,-83.28,Courtyard by Marriott Valdosta
614,Celestun,MX,29.8,scattered clouds,20.87,-90.4,Posada Lilia
615,Kuala Terengganu,MY,24.0,light rain,5.33,103.14,Hotel Grand Continental Kuala Terengganu (4 Star)
616,Kirakira,SB,29.14,few clouds,-10.45,161.92,SanBiz Lodge
617,Majene,ID,24.78,broken clouds,-3.54,118.97,Kost Putri RABBANI
618,Kralendijk,BQ,31.0,clear sky,12.15,-68.27,Divi Flamingo Beach Resort & Casino
622,Ranau,MY,24.0,few clouds,5.95,116.66,Ranau Backpackers Hostel
623,Dulce Nombre De Culmi,HN,29.26,clear sky,15.1,-85.53,Hotel maria jose
625,Qalyub,EG,28.0,clear sky,30.18,31.21,هاني حافظ العمده للدواجن
628,Cabra,ES,32.0,clear sky,37.47,-4.44,MS Fuente Las Piedras
629,Maple Creek,CA,33.17,few clouds,49.92,-109.48,Willowbend Campground & Cabins
630,Itarema,BR,25.88,scattered clouds,-2.92,-39.92,Windvillage
633,Arauca,CO,29.0,scattered clouds,7.08,-70.76,Hotel Verano Plaza
634,Chiusi,IT,24.44,clear sky,43.02,11.95,L'Albero di Gamelì
